state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
LA,41000,86,3526000,141000,1.83,6453000,2012
ME,4000,34,136000,24000,2.39,325000,2012
MI,73000,57,4161000,1332000,2.03,8447000,2012
MN,125000,67,8375000,1591000,1.92,16080000,2012
MS,18000,118,2124000,64000,1.77,3759000,2012
MO,7000,53,371000,108000,2.8,1039000,2012
MT,145000,52,7540000,2413000,1.95,14703000,2012
NE,43000,65,2795000,1146000,1.93,5394000,2012
NJ,14000,33,462000,51000,1.97,910000,2012
NM,5000,52,260000,99000,3.39,881000,2012
NY,51000,51,2601000,988000,2.23,5800000,2012
NC,13000,39,507000,106000,3.76,1906000,2012
ND,480000,69,33120000,5962000,1.92,63590000,2012
OH,18000,60,1080000,410000,2.46,2657000,2012
OR,60000,32,1920000,845000,2.16,4147000,2012
PA,16000,60,960000,269000,2.57,2467000,2012
SD,260000,63,16380000,3604000,1.95,31941000,2012
TN,6000,61,366000,59000,2.93,1072000,2012
TX,92000,52,4784000,718000,2,9568000,2012
UT,25000,38,950000,209000,1.87,1777000,2012
VT,4000,60,240000,53000,2.39,574000,2012
VA,4000,41,164000,23000,3.77,618000,2012
WA,62000,41,2542000,1017000,2.38,6050000,2012
WV,6000,48,288000,95000,2.91,838000,2012
WI,60000,69,4140000,1863000,2.05,8487000,2012
WY,50000,51,2550000,459000,1.87,4769000,2012
AL,7000,52,364000,55000,2.85,1037000,2013
AZ,29000,36,1044000,251000,1.96,2046000,2013
AR,22000,60,1320000,66000,2.02,2666000,2013
CA,330000,33,10890000,2505000,2.11,22978000,2013
CO,26000,43,1118000,324000,2.1,2348000,2013
FL,220000,61,13420000,1074000,2.03,27243000,2013
GA,67000,50,3350000,637000,2.26,7571000,2013
HI,13000,83,1079000,65000,1.97,2126000,2013
ID,83000,32,2656000,1036000,2.02,5365000,2013
IL,7000,48,336000,101000,4.19,1408000,2013
IN,6000,47,282000,82000,2.77,781000,2013
IA,39000,48,1872000,1217000,2.45,4586000,2013
KS,6000,46,276000,39000,2.5,690000,2013
KY,3000,41,123000,17000,3.25,400000,2013
LA,50000,98,4900000,490000,1.89,9261000,2013
ME,7000,43,301000,27000,3.14,945000,2013
MI,85000,55,4675000,982000,2.16,10098000,2013
MN,130000,58,7540000,1282000,1.99,15005000,2013
MS,17000,116,1972000,39000,1.86,3668000,2013
MO,10000,47,470000,85000,2.62,1231000,2013
MT,159000,94,14946000,5231000,2.09,31237000,2013
NE,46000,60,2760000,1628000,2.07,5713000,2013
NJ,11000,44,484000,34000,4.19,2028000,2013
NM,55000,48,2640000,1030000,2.12,5597000,2013
NY,10000,38,380000,84000,3.67,1395000,2013
NC,480000,69,33120000,6955000,2.04,67565000,2013
ND,17000,45,765000,390000,3.29,2517000,2013
OH,62000,35,2170000,456000,2.39,5186000,2013
OR,13000,45,585000,257000,3.03,1773000,2013
PA,265000,56,14840000,6381000,2.07,30719000,2013
SD,7000,45,315000,63000,3.55,1118000,2013
TN,106000,59,6254000,1689000,2.1,13133000,2013
TX,30000,34,1020000,92000,2.09,2132000,2013
UT,3000,51,153000,46000,3.89,595000,2013
VT,5000,35,175000,42000,4.5,788000,2013
VA,69000,39,2691000,1023000,2.3,6189000,2013
WA,6000,46,276000,83000,3.66,1010000,2013
WV,59000,60,3540000,1558000,2.38,8425000,2013
WI,47000,66,3102000,558000,2.11,6545000,2013
WY,33000,39,1295000,186000,3.83,4960000,2013
AL,7000,53,371000,26000,3.4,1261000,2014
AZ,26000,39,1014000,193000,2.02,2048000,2014
AR,21000,65,1365000,137000,2,2730000,2014
CA,320000,39,12480000,2995000,2.03,25334000,2014
CO,27000,37,999000,200000,2,1998000,2014
FL,245000,60,14700000,1029000,2.08,30576000,2014
GA,73000,62,4526000,362000,2.19,9912000,2014
HI,15000,93,1395000,140000,2.28,3181000,2014
ID,100000,34,3400000,850000,2.03,6902000,2014
IL,8000,49,392000,94000,4.41,1729000,2014
IN,5000,62,310000,115000,3.24,1004000,2014
IA,35000,43,1505000,933000,2.51,3778000,2014
KS,7000,75,525000,84000,2.33,1223000,2014
KY,5000,47,235000,56000,3.93,924000,2014
LA,48000,84,4032000,524000,2.26,9112000,2014
ME,8000,47,376000,41000,5.36,2015000,2014
MI,91000,63,5733000,1835000,2.5,14333000,2014
MN,132000,60,7920000,1426000,2.06,16315000,2014
MS,20000,112,2240000,45000,2.01,4502000,2014
MO,12000,47,564000,96000,3.57,2013000,2014
MT,162000,88,14256000,5132000,2.05,29225000,2014
NE,50000,75,3750000,1688000,2.1,7875000,2014
NJ,12000,30,360000,119000,2.98,1073000,2014
NY,60000,55,3300000,1518000,2.72,8976000,2014
NC,12000,43,516000,88000,3.47,1791000,2014
ND,490000,86,42140000,9271000,2,84280000,2014
OH,15000,61,915000,256000,3.52,3221000,2014
OR,71000,40,2840000,767000,2.19,6220000,2014
PA,17000,46,782000,203000,2.75,2151000,2014
SC,9000,54,486000,19000,3.83,1861000,2014
SD,280000,87,24360000,5846000,2.09,50912000,2014
TN,7000,63,441000,88000,3.23,1424000,2014
TX,116000,78,9048000,2081000,2.23,20177000,2014
UT,29000,28,812000,130000,2.13,1730000,2014
VT,3000,58,174000,61000,5.03,875000,2014
VA,6000,41,246000,57000,5.07,1247000,2014
WA,68000,44,2992000,1167000,2.48,7420000,2014
WV,6000,31,186000,33000,4.04,751000,2014
WI,53000,54,2862000,1030000,2.32,6640000,2014
WY,38000,61,2318000,255000,2.06,4775000,2014
AL,7000,47,329000,13000,3.83,1260000,2015
AZ,26000,49,1274000,306000,2.03,2586000,2015
AR,24000,72,1728000,121000,2.06,3560000,2015
CA,275000,30,8250000,1485000,2.03,16748000,2015
CO,29000,51,1479000,399000,2.26,3343000,2015
FL,220000,54,11880000,832000,1.97,23404000,2015
GA,69000,40,2760000,221000,2.43,6707000,2015
HI,14000,102,1428000,71000,1.91,2727000,2015
ID,89000,32,2848000,1082000,1.93,5497000,2015
IL,8000,51,408000,155000,4.66,1901000,2015
IN,6000,53,318000,165000,3.23,1027000,2015
IA,36000,50,1800000,990000,2.2,3960000,2015
KS,8000,36,288000,107000,3.5,1008000,2015
KY,5000,46,230000,55000,4.04,929000,2015
LA,44000,99,4356000,348000,1.95,8494000,2015
ME,10000,47,470000,47000,5.43,2552000,2015
MI,90000,58,5220000,1984000,2.44,12737000,2015
MN,122000,68,8296000,2157000,1.84,15265000,2015
MS,15000,83,1245000,87000,2.4,2988000,2015
MO,10000,52,520000,52000,3.55,1846000,2015
MT,146000,83,12118000,3757000,1.94,23509000,2015
NE,57000,48,2736000,1450000,2.04,5581000,2015
NJ,12000,27,324000,207000,4.2,1361000,2015
NY,58000,62,3596000,899000,2.94,10572000,2015
NC,12000,45,540000,103000,4.51,2435000,2015
ND,490000,74,36260000,9428000,1.8,65268000,2015
OH,17000,50,850000,357000,3.6,3060000,2015
OR,71000,38,2698000,809000,2.43,6556000,2015
